1	Plaza Vea                     	1	Buenos Aires                  	9693	9693 - P Vea Villa Urquiza.			N
4	Vea                           	1	Buenos Aires                  	9706	706 - Puerto Madryn.	-42.768281000000002	-65.037971999999996	N
4	Vea                           	1	Buenos Aires                  	9942	942 - PV Independencia.	-38.012360000000001	-57.565787999999998	N
4	Vea                           	1	Buenos Aires                  	9973	973 - Av. San Mart¡n 6795			N
9	Jumbo                         	1	Buenos Aires                  	305	305 - DEPOSITO CBN GROUP	0.0	0.0	S
9	Jumbo                         	1	Buenos Aires                  	5034	5034 - Jumbo Quilmes II	-34.728113	-58.248972999999999	N
9	Jumbo                         	1	Buenos Aires                  	5201	5201 - Jumbo Escalada	-34.674546999999997	-58.460833999999998	N
9	Jumbo                         	1	Buenos Aires                  	5202	5202 - Jumbo Mart¡nez	-34.508766999999999	-58.521726999999998	N
9	Jumbo                         	1	Buenos Aires                  	5204	5204 - Jumbo Lomas	-34.792731000000003	-58.414738999999997	N
9	Jumbo                         	1	Buenos Aires                  	5205	5205 - Jumbo San Mart¡n	-34.565294999999999	-58.554622000000002	N
9	Jumbo                         	1	Buenos Aires                  	5206	5206 - Jumbo Palermo	-34.575082999999999	-58.425210999999997	N
9	Jumbo                         	1	Buenos Aires                  	5207	5207 - Jumbo Quilmes	-34.759718999999997	-58.278782999999997	N
9	Jumbo                         	1	Buenos Aires                  	5208	5208 - Jumbo Mor¢n	-34.701082999999997	-58.647551999999997	N
9	Jumbo                         	1	Buenos Aires                  	5211	5211 - Jumbo Pilar	-34.446786000000003	-58.870454000000002	N
9	Jumbo                         	1	Buenos Aires                  	5213	5213 - Jumbo Madero Harbour	-34.621431000000001	-58.360854000000003	N
9	Jumbo                         	1	Buenos Aires                  	5214	5214 - Jumbo Escobar	-34.355837000000001	-58.797711999999997	N
9	Jumbo                         	1	Buenos Aires                  	5218	5218 - Jumbo Rosario	-32.909117999999999	-60.683433999999998	N
9	Jumbo                         	1	Buenos Aires                  	5227	5226 - Jumbo Tucum n			N
9	Jumbo                         	1	Buenos Aires                  	5231	5231 - Jumbo Almagro	-34.599815	-58.429112000000003	N
9	Jumbo                         	1	Buenos Aires                  	5259	5259 - Jumbo Tronador	-34.583457000000003	-58.464818000000001	N
9	Jumbo                         	1	Buenos Aires                  	5260	5260 - Jumbo Acoyte	-34.610675999999998	-58.439326000000001	N
9	Jumbo                         	1	Buenos Aires                  	5263	5263 - Jumbo Juan B. Justo	-34.609828999999998	-58.465505	N
